Outcome,Euclidean distance,Manhattan Distance,First dimension,Second dimension,Third dimension
"(5.9, 4.0)",1.3453624047073711,1.9000000000000004,0.90000000000000036,1.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
"(5.9, 4.0)",0.0,0.0,0.0,0.0
